T03,"Population growth and indicators of fertility and mortality",,,,,
728,"South Sudan",2015,"Life expectancy at birth for females (years)",57.51,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
724,Spain,2005,"Population annual rate of increase (percent)",1.507,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
724,Spain,2005,"Total fertility rate (children per women)",1.2773,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
724,Spain,2005,"Infant mortality for both sexes (per 1,000 live births)",4.03,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
724,Spain,2005,"Maternal mortality ratio (deaths per 100,000 population)",5.3102,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
724,Spain,2005,"Life expectancy at birth for both sexes (years)",79.906,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
724,Spain,2005,"Life expectancy at birth for males (years)",76.53,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
724,Spain,2005,"Life expectancy at birth for females (years)",83.28,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
724,Spain,2010,"Population annual rate of increase (percent)",1.281,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
724,Spain,2010,"Total fertility rate (children per women)",1.454,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
724,Spain,2010,"Infant mortality for both sexes (per 1,000 live births)",3.373,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
724,Spain,2010,"Maternal mortality ratio (deaths per 100,000 population)",4.7758,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
724,Spain,2010,"Life expectancy at birth for both sexes (years)",81.222,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
724,Spain,2010,"Life expectancy at birth for males (years)",78.06,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
724,Spain,2010,"Life expectancy at birth for females (years)",84.35,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
724,Spain,2015,"Population annual rate of increase (percent)",-0.111,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
724,Spain,2015,"Total fertility rate (children per women)",1.3252,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
724,Spain,2015,"Infant mortality for both sexes (per 1,000 live births)",2.879,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
724,Spain,2015,"Maternal mortality ratio (deaths per 100,000 population)",4.9912,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
724,Spain,2015,"Life expectancy at birth for both sexes (years)",82.506,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
724,Spain,2015,"Life expectancy at birth for males (years)",79.63,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
724,Spain,2015,"Life expectancy at birth for females (years)",85.32,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
144,"Sri Lanka",2005,"Population annual rate of increase (percent)",0.801,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
144,"Sri Lanka",2005,"Total fertility rate (children per women)",2.262,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
144,"Sri Lanka",2005,"Infant mortality for both sexes (per 1,000 live births)",11.785,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
144,"Sri Lanka",2005,"Maternal mortality ratio (deaths per 100,000 population)",42.638,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
144,"Sri Lanka",2005,"Life expectancy at birth for both sexes (years)",73.897,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
144,"Sri Lanka",2005,"Life expectancy at birth for males (years)",70.45,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
144,"Sri Lanka",2005,"Life expectancy at birth for females (years)",77.64,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
144,"Sri Lanka",2010,"Population annual rate of increase (percent)",0.72,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
144,"Sri Lanka",2010,"Total fertility rate (children per women)",2.279,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
144,"Sri Lanka",2010,"Infant mortality for both sexes (per 1,000 live births)",10.166,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
144,"Sri Lanka",2010,"Maternal mortality ratio (deaths per 100,000 population)",35.0169,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
144,"Sri Lanka",2010,"Life expectancy at birth for both sexes (years)",74.934,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
144,"Sri Lanka",2010,"Life expectancy at birth for males (years)",71.49,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
144,"Sri Lanka",2010,"Life expectancy at birth for females (years)",78.51,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
144,"Sri Lanka",2015,"Population annual rate of increase (percent)",0.628,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
144,"Sri Lanka",2015,"Total fertility rate (children per women)",2.2135,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
144,"Sri Lanka",2015,"Infant mortality for both sexes (per 1,000 live births)",8.776,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
144,"Sri Lanka",2015,"Maternal mortality ratio (deaths per 100,000 population)",30.2936,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
144,"Sri Lanka",2015,"Life expectancy at birth for both sexes (years)",75.888,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
144,"Sri Lanka",2015,"Life expectancy at birth for males (years)",72.45,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
144,"Sri Lanka",2015,"Life expectancy at birth for females (years)",79.31,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
275,"State of Palestine",2005,"Population annual rate of increase (percent)",2.083,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
275,"State of Palestine",2005,"Total fertility rate (children per women)",5.0155,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
275,"State of Palestine",2005,"Infant mortality for both sexes (per 1,000 live births)",23.716,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
275,"State of Palestine",2005,"Maternal mortality ratio (deaths per 100,000 population)",62.3704,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
275,"State of Palestine",2005,"Life expectancy at birth for both sexes (years)",71.529,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
275,"State of Palestine",2005,"Life expectancy at birth for males (years)",69.98,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
275,"State of Palestine",2005,"Life expectancy at birth for females (years)",73.14,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
275,"State of Palestine",2010,"Population annual rate of increase (percent)",2.506,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
275,"State of Palestine",2010,"Total fertility rate (children per women)",4.602,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
275,"State of Palestine",2010,"Infant mortality for both sexes (per 1,000 live births)",21.046,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
275,"State of Palestine",2010,"Maternal mortality ratio (deaths per 100,000 population)",54.147,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
275,"State of Palestine",2010,"Life expectancy at birth for both sexes (years)",72.453,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
275,"State of Palestine",2010,"Life expectancy at birth for males (years)",70.81,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
275,"State of Palestine",2010,"Life expectancy at birth for females (years)",74.17,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
275,"State of Palestine",2015,"Population annual rate of increase (percent)",2.209,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
275,"State of Palestine",2015,"Total fertility rate (children per women)",4.25,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
275,"State of Palestine",2015,"Infant mortality for both sexes (per 1,000 live births)",19.3,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
275,"State of Palestine",2015,"Maternal mortality ratio (deaths per 100,000 population)",45.498,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
275,"State of Palestine",2015,"Life expectancy at birth for both sexes (years)",73.092,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
275,"State of Palestine",2015,"Life expectancy at birth for males (years)",71.39,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
275,"State of Palestine",2015,"Life expectancy at birth for females (years)",74.88,"Data refers to a 5-year period preceding the reference year.;Including East Jerusalem.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
729,Sudan,2005,"Population annual rate of increase (percent)",2.528,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
729,Sudan,2005,"Total fertility rate (children per women)",5.3,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
729,Sudan,2005,"Infant mortality for both sexes (per 1,000 live births)",61.789,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
729,Sudan,2005,"Maternal mortality ratio (deaths per 100,000 population)",440.4274,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
729,Sudan,2005,"Life expectancy at birth for both sexes (years)",59.46,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
729,Sudan,2005,"Life expectancy at birth for males (years)",57.54,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
729,Sudan,2005,"Life expectancy at birth for females (years)",61.47,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
729,Sudan,2010,"Population annual rate of increase (percent)",2.198,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
729,Sudan,2010,"Total fertility rate (children per women)",5,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
729,Sudan,2010,"Infant mortality for both sexes (per 1,000 live births)",53.179,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
729,Sudan,2010,"Maternal mortality ratio (deaths per 100,000 population)",349.2449,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
729,Sudan,2010,"Life expectancy at birth for both sexes (years)",61.624,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
729,Sudan,2010,"Life expectancy at birth for males (years)",59.81,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
729,Sudan,2010,"Life expectancy at birth for females (years)",63.5,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
729,Sudan,2015,"Population annual rate of increase (percent)",2.376,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
729,Sudan,2015,"Total fertility rate (children per women)",4.75,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
729,Sudan,2015,"Infant mortality for both sexes (per 1,000 live births)",47.825,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
729,Sudan,2015,"Maternal mortality ratio (deaths per 100,000 population)",310.8528,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
729,Sudan,2015,"Life expectancy at birth for both sexes (years)",63.757,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
729,Sudan,2015,"Life expectancy at birth for males (years)",62.07,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
729,Sudan,2015,"Life expectancy at birth for females (years)",65.48,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
740,Suriname,2005,"Population annual rate of increase (percent)",1.176,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
740,Suriname,2005,"Total fertility rate (children per women)",2.8348,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
740,Suriname,2005,"Infant mortality for both sexes (per 1,000 live births)",27.966,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
740,Suriname,2005,"Maternal mortality ratio (deaths per 100,000 population)",223.474,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
740,Suriname,2005,"Life expectancy at birth for both sexes (years)",68.063,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
740,Suriname,2005,"Life expectancy at birth for males (years)",64.86,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
740,Suriname,2005,"Life expectancy at birth for females (years)",71.62,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
740,Suriname,2010,"Population annual rate of increase (percent)",1.154,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
740,Suriname,2010,"Total fertility rate (children per women)",2.6668,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
740,Suriname,2010,"Infant mortality for both sexes (per 1,000 live births)",23.716,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
740,Suriname,2010,"Maternal mortality ratio (deaths per 100,000 population)",169.0628,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
740,Suriname,2010,"Life expectancy at birth for both sexes (years)",69.821,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
740,Suriname,2010,"Life expectancy at birth for males (years)",66.68,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
740,Suriname,2010,"Life expectancy at birth for females (years)",73.21,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
